league,season,player_id,player_name,team_title,position,games,time,goals,assists,xG,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
bundesliga,2014-2015,356,Alexander Meier,Eintracht Frankfurt,F M S,26,2209,19,2,15.395941108465196,1.2686937591060996,80,22,0,0,16,12.36483433842659,12.408789467066526,1.9156581219285729
bundesliga,2014-2015,227,Robert Lewandowski,Bayern Munich,F M S,31,2493,17,5,17.722183350473642,4.644012805074453,104,32,0,0,16,16.96440664306283,23.31542954593897,4.924822298809886
bundesliga,2014-2015,392,Arjen Robben,Bayern Munich,D F M S,21,1681,17,7,10.364112377166748,7.505969855934381,88,50,0,0,15,8.848720371723175,20.820983182638884,8.605793077498674
bundesliga,2014-2015,158,Bas Dost,Wolfsburg,F S,21,1532,16,4,11.341977171599863,2.659186452627182,43,15,1,0,16,11.341977171599863,15.911891400814056,2.5383058693259954
bundesliga,2014-2015,318,Pierre-Emerick Aubameyang,Borussia Dortmund,F M S,33,2724,16,6,15.39676003716886,6.378020296804607,102,46,4,0,14,13.881206726655364,20.85272805951536,2.5126496041193604
bundesliga,2014-2015,224,Thomas Müller,Bayern Munich,F M S,32,2382,13,10,14.07809910736978,6.459182882681489,83,40,1,0,10,11.804769014939666,23.158116556704044,6.3404814545065165
bundesliga,2014-2015,341,Franco Di Santo,Werder Bremen,F,26,2301,13,2,9.417811661958694,1.789213925600052,54,24,8,0,10,6.386785261332989,9.53252488002181,2.385641388595104
bundesliga,2014-2015,186,Karim Bellarabi,Bayer Leverkusen,F M S,33,2731,12,6,10.108170365914702,4.981079136952758,104,45,5,0,12,10.108170365914702,18.11762314848601,5.559335274621844
bundesliga,2014-2015,210,Raffael,Borussia M.Gladbach,F M S,31,2386,12,2,10.890814747661352,4.342748397961259,67,42,1,0,12,10.890814747661352,20.30747613310814,8.150455221533775
bundesliga,2014-2015,754,Shinji Okazaki,Mainz 05,F S,32,2787,12,3,9.832703720778229,3.273493112064898,59,26,4,0,12,9.832703720778229,12.567015416920183,2.356663540005684
bundesliga,2014-2015,155,Max Kruse,Borussia M.Gladbach,F S,32,2586,11,9,11.078691450878978,8.653631360270083,65,77,2,0,8,8.805361384525895,21.175484623759985,9.910090547055006
bundesliga,2014-2015,420,Patrick Herrmann,Borussia M.Gladbach,F M S,32,2214,11,4,9.38436054252088,5.13144039735198,50,34,5,0,11,9.38436054252088,16.353563491255045,6.580168855376542
bundesliga,2014-2015,453,Son Heung-Min,Bayer Leverkusen,M S,30,2305,11,2,5.336322076618671,2.734232461079955,63,39,4,0,11,5.336322076618671,10.994488790631294,5.067231614142656
bundesliga,2014-2015,119,Anthony Ujah,FC Cologne,F S,32,2357,10,3,7.9484022771939635,4.075046567246318,59,33,2,0,10,7.9484022771939635,12.668220597319303,3.046833636239171
bundesliga,2014-2015,208,Lars Stindl,Hannover 96,M S,21,1798,10,3,6.093046851456165,3.359395724255592,51,33,7,1,9,5.3352701514959335,9.146012026816608,3.936733907088637
bundesliga,2014-2015,273,Raúl Bobadilla,Augsburg,F M S,32,2629,10,2,10.460197108797727,2.753971072845161,83,41,4,1,10,10.460197108797727,11.91606800723821,2.5326397139579058
bundesliga,2014-2015,291,Haris Seferovic,Eintracht Frankfurt,F M,32,2855,10,5,9.43424029648304,5.471468250267208,94,34,8,1,10,9.43424029648304,16.65021125972271,6.137011860497296
bundesliga,2014-2015,447,Kevin De Bruyne,Wolfsburg,F M,34,3052,10,20,7.724068749696016,14.308946477249265,96,112,3,0,10,7.724068749696016,29.501689936965704,13.275837222114204
bundesliga,2014-2015,190,Stefan Kießling,Bayer Leverkusen,F S,34,2583,9,4,10.359313758090138,2.71100805234164,56,35,4,0,9,10.359313758090138,13.720595912076533,3.652113584801554
bundesliga,2014-2015,288,Stefan Aigner,Eintracht Frankfurt,M S,28,2094,9,0,7.044449065811932,1.952588954009116,43,28,8,0,9,7.044449065811932,10.180803447961807,3.5457278955727816
bundesliga,2014-2015,339,Eric Maxim Choupo-Moting,Schalke 04,F M S,31,2559,9,6,7.072093487717211,4.776006793603301,68,36,0,0,7,4.798763417638838,10.41534492187202,4.128838544711471
bundesliga,2014-2015,340,Klaas-Jan Huntelaar,Schalke 04,F S,28,2439,9,3,10.226353514939548,2.183024755679071,74,29,5,1,9,10.226353514939548,13.090867407619951,3.1366674043238163
bundesliga,2014-2015,407,Martin Harnik,VfB Stuttgart,F M S,28,2247,9,2,9.13876572623849,2.7014923244714737,52,18,1,2,9,9.13876572623849,11.594803616404532,2.3804224468767643
bundesliga,2014-2015,422,Mario Götze,Bayern Munich,F M S,32,2248,9,2,7.594284487888217,4.919819463044405,60,44,1,0,9,7.594284487888217,16.83544751442969,7.7918339893221855
bundesliga,2014-2015,4248,Nils Petersen,"Freiburg,Werder Bremen",F S,19,720,9,2,7.257393874228001,1.4266801923513412,23,12,0,0,8,6.499617196619511,8.11552450619638,0.6233998322859406
bundesliga,2014-2015,4280,Davie Selke,Werder Bremen,F M S,30,1993,9,3,8.066066710278392,1.915610226802528,43,20,4,0,9,8.066066710278392,8.47933347709477,0.7151705175638199
bundesliga,2014-2015,83,Kevin Volland,Hoffenheim,F M S,32,2674,8,5,5.710136819630861,5.175809207372367,84,46,6,0,8,5.710136819630861,14.622143365442753,5.201547811739147
bundesliga,2014-2015,189,Hakan Calhanoglu,Bayer Leverkusen,F M S,33,2528,8,6,5.910272120498121,5.445561430417001,105,73,3,0,8,5.152495465241373,12.050513446331024,6.476270603947341
bundesliga,2014-2015,397,Tobias Werner,Augsburg,M S,31,2640,8,4,7.222863687202334,4.980150826275349,67,52,8,0,8,6.465087009593844,10.419747173786163,2.1807622592896223
bundesliga,2014-2015,866,Joselu,Hannover 96,F S,30,2477,8,3,10.101106397807598,3.6081219073385,79,17,4,0,7,8.585553087294102,12.949543688446283,3.7573577100411057
bundesliga,2014-2015,137,Anthony Modeste,Hoffenheim,F S,26,1303,7,1,8.161451147403568,0.3414446879178285,58,10,2,0,7,8.161451147403568,8.586867660284042,1.175187300890684
bundesliga,2014-2015,147,Naldo,Wolfsburg,D,32,2880,7,2,2.849737470038235,2.206445014104247,50,11,5,0,7,2.849737470038235,7.731553826481104,7.400898102670908
bundesliga,2014-2015,157,Daniel Caligiuri,Wolfsburg,M S,28,1651,7,3,4.814294621348381,3.1188066340982914,38,27,1,0,7,4.814294621348381,12.534759195521474,5.796651085838676
bundesliga,2014-2015,303,Ivica Olic,"Hamburger SV,Wolfsburg",F M S,30,2271,7,0,4.837381437420845,1.7269690614193678,48,22,3,0,7,4.837381437420845,7.817597716115415,2.9255723049864173
bundesliga,2014-2015,319,Marco Reus,Borussia Dortmund,F M S,20,1574,7,5,7.951785370707512,5.261479150503874,65,49,1,0,7,7.951785370707512,15.548376187682152,5.912268990650773
bundesliga,2014-2015,426,Daniel Ginczek,VfB Stuttgart,F S,18,1250,7,2,8.644815228879452,2.334586627781391,34,22,3,0,7,8.644815228879452,10.095301900058985,1.037790740840137
bundesliga,2014-2015,482,Roberto Firmino,Hoffenheim,F M,33,2921,7,10,9.122118352912366,8.99985871091485,95,68,5,0,7,9.122118352912366,18.75160696636885,4.471247723326087
bundesliga,2014-2015,2633,Julian Schieber,Hertha Berlin,F M S,16,1284,7,0,4.557993419468403,0.6480455780401826,27,10,1,0,7,4.557993419468403,5.068353395909071,0.3816825561225414
bundesliga,2014-2015,26,Salomon Kalou,Hertha Berlin,F M S,27,1858,6,0,7.261833963915706,1.856373343616724,49,18,2,0,4,5.746280608698726,9.535777204670012,2.310409882105887
bundesliga,2014-2015,27,Vladimir Darida,Freiburg,F M S,31,2422,6,1,6.005599203519523,2.047907426953316,49,24,3,1,1,1.4591005211696029,7.473123544827104,4.714333549141884
bundesliga,2014-2015,45,Yunus Malli,Mainz 05,F M S,31,2186,6,4,5.146579470485449,3.9586449544876814,47,31,2,0,6,5.146579470485449,11.395920224487782,4.077945787459612
bundesliga,2014-2015,209,Josip Drmic,Bayer Leverkusen,F S,25,775,6,1,3.745550673455,0.6070148171856999,21,8,1,0,6,3.745550673455,4.917570274323225,0.7641914039850235
bundesliga,2014-2015,248,Elias Kachunga,Paderborn,F S,32,2224,6,1,7.732160972431302,0.6422292459756136,55,21,4,0,6,7.732160972431302,8.226149942725897,2.2039120346307755
bundesliga,2014-2015,264,Paul Verhaegh,Augsburg,D,27,2339,6,1,5.617853836156428,2.104887108318508,20,15,4,1,0,0.3134974529966712,5.040093814954162,3.191168366931379
bundesliga,2014-2015,301,Zlatko Junuzovic,Werder Bremen,M S,33,2901,6,12,3.848328873515129,8.332125443033874,61,77,6,0,6,3.848328873515129,9.288032222539186,5.760268631391227
bundesliga,2014-2015,308,Ricardo Rodríguez,Wolfsburg,D,26,2295,6,4,3.2845638133585453,4.228737972676754,33,54,2,0,3,1.0112337954342363,9.936141543090343,7.2589075695723295
bundesliga,2014-2015,60,Christian Gentner,VfB Stuttgart,M,33,2941,5,3,4.558577951043844,5.2775432374328375,44,40,6,0,5,4.558577951043844,12.742471212521195,6.960417442955077
bundesliga,2014-2015,86,Eugen Polanski,Hoffenheim,M S,30,2546,5,0,2.758483398705721,1.093322403728962,38,15,7,0,3,1.2429300099611282,8.713921861723065,7.090634372085333
bundesliga,2014-2015,132,Matthias Lehmann,FC Cologne,M,32,2848,5,1,3.854565073736012,1.4760553576052189,25,29,9,0,1,0.8234583558514714,6.383602207526565,5.546306755393744
bundesliga,2014-2015,134,Marcel Risse,FC Cologne,M S,29,2266,5,3,2.711915954947472,3.918101328425109,60,31,3,0,5,2.711915954947472,8.11404915805906,2.2339656548574567
bundesliga,2014-2015,271,Ja-Cheol Koo,Mainz 05,M S,23,1489,5,1,5.814658978022635,1.2292218338698149,34,14,3,0,2,3.541328922845423,7.13831028714776,3.5569338761270046
bundesliga,2014-2015,321,Shinji Kagawa,Borussia Dortmund,M S,28,1883,5,5,5.051944455131888,3.917682643979788,38,49,2,0,5,5.051944455131888,14.911291249096394,7.45311975479126
bundesliga,2014-2015,329,Franck Ribéry,Bayern Munich,F M S,15,958,5,7,2.08265383169055,3.7640130072832094,22,29,2,0,5,2.08265383169055,8.992035500705242,5.384166453033686
bundesliga,2014-2015,338,Max Meyer,Schalke 04,M S,28,1861,5,1,2.838690111413598,2.2112754620611668,32,30,0,0,5,2.838690111413598,6.83182598464191,2.4116304125636816
bundesliga,2014-2015,396,Hiroshi Kiyotake,Hannover 96,M S,32,2541,5,5,2.697580000385642,5.580107510089874,33,69,2,0,5,2.697580000385642,10.75641007348895,6.321278151124716
bundesliga,2014-2015,448,Ivan Perisic,Wolfsburg,M S,24,1739,5,4,6.088268239051104,4.92638745252043,43,26,4,0,5,5.330491561442614,10.723390400409698,4.890473153442144
bundesliga,2014-2015,907,Bastian Schweinsteiger,Bayern Munich,M S,20,1361,5,4,2.1745135076344013,2.219082625582814,29,31,4,0,5,2.1745135076344013,7.0167625322937965,4.26438058540225
bundesliga,2014-2015,36,Roy Beerens,Hertha Berlin,M S,27,2078,4,1,2.698116360232234,1.63964725099504,27,21,2,0,4,2.698116360232234,5.420404476113617,1.861295179463923
bundesliga,2014-2015,62,Lukas Rupp,Paderborn,F M S,31,2010,4,1,2.5873669274151325,2.2077020849101245,32,30,3,0,4,2.5873669274151325,6.888413705863059,2.8806386226788163
bundesliga,2014-2015,78,Tarik Elyounoussi,Hoffenheim,M S,25,1490,4,1,4.818949796259403,1.7611751295626163,25,23,1,0,4,4.818949796259403,7.924563763663173,1.978265506215393
bundesliga,2014-2015,81,Jonathan Schmid,Freiburg,F M S,33,2826,4,8,5.148356858640909,6.221347259357572,60,64,2,0,4,5.148356858640909,9.149544902145864,3.1016957946121693
bundesliga,2014-2015,90,Sebastian Rudy,Hoffenheim,D M S,29,2246,4,3,2.970996587537229,3.396340073551982,23,45,9,0,4,2.213219883851707,6.726347478106618,4.662760077044368
bundesliga,2014-2015,115,Fin Bartels,Werder Bremen,F M S,29,2420,4,4,3.9003814766183496,4.014332853257656,46,30,5,0,4,3.9003814766183496,9.6861229846254,2.96614371240139
bundesliga,2014-2015,153,Maximilian Arnold,Wolfsburg,M S,27,1668,4,2,3.5824039140716195,2.1666134987026453,34,24,8,0,4,3.5824039140716195,8.82803207449615,4.046527740545571
bundesliga,2014-2015,173,Pierre-Michel Lasogga,Hamburger SV,F S,26,1862,4,0,5.359030761756003,2.131043825298548,66,14,2,0,4,5.359030761756003,7.976528168655932,1.3819412756711245
bundesliga,2014-2015,194,Admir Mehmedi,Freiburg,F M S,28,2254,4,1,5.144820814020932,1.5700526498258114,51,29,3,0,4,4.387044136412442,8.266530217602849,4.162097551859915
bundesliga,2014-2015,261,Julian Brandt,Bayer Leverkusen,M S,25,1095,4,2,2.015580028295517,2.457824170589447,20,25,0,0,4,2.015580028295517,7.02809898275882,3.9590243976563215
bundesliga,2014-2015,300,Daniel Didavi,VfB Stuttgart,F M S,11,742,4,0,2.7108106408268213,0.6329342257231474,32,11,3,0,4,2.7108106408268213,3.0397948808968067,1.2882695877924562
bundesliga,2014-2015,336,Johannes Geis,Mainz 05,M S,34,2969,4,3,3.436212070286274,4.470460117794573,78,74,4,0,3,2.678435383364558,8.211827050894499,7.32412332855165
bundesliga,2014-2015,360,Ádám Szalai,Hoffenheim,F S,26,1311,4,4,4.61454095505178,3.445117589086294,36,24,2,1,4,4.61454095505178,6.840384162962437,1.4664690531790257
bundesliga,2014-2015,2153,Rafael van der Vaart,Hamburger SV,M S,24,1653,4,1,4.405370825901628,1.8889533895999195,33,30,10,0,1,2.132040763273835,3.9209234034642577,1.9249622877687216
bundesliga,2014-2015,2648,Änis Ben-Hatira,Hertha Berlin,M S,15,838,4,4,3.244267262518406,2.604057652875781,23,13,3,0,4,3.244267262518406,4.869771122932434,0.2461982201784849
bundesliga,2014-2015,4246,Mike Frantz,Freiburg,F M S,25,1191,4,1,3.493234507739544,1.234888032078743,23,12,3,0,4,3.493234507739544,5.093011977151036,1.4539168942719698
bundesliga,2014-2015,4273,Alexander Madlung,Eintracht Frankfurt,D S,22,1343,4,0,1.56781611032784,0.0105008454993367,16,1,5,0,4,1.56781611032784,1.700143680907786,1.635790815576911
bundesliga,2014-2015,4296,Moritz Stoppelkamp,Paderborn,F M S,27,2182,4,2,5.591954436153173,4.070897323079407,66,43,5,0,4,5.591954436153173,10.249943709000943,2.7220479641109705
bundesliga,2014-2015,32,Valentin Stocker,Hertha Berlin,F M S,26,1863,3,4,3.013324912637472,2.9926083739846945,35,28,6,0,3,3.013324912637472,6.678481644950807,2.245112214237452
bundesliga,2014-2015,40,Stefan Bell,Mainz 05,D,31,2790,3,1,2.4881675438955426,1.2730389516800642,23,6,2,0,3,2.4881675438955426,5.954137539491057,5.004367301240563
bundesliga,2014-2015,64,Filip Kostic,VfB Stuttgart,M S,28,1511,3,5,3.381504046730697,7.31762577034533,47,37,5,0,3,3.381504046730697,10.179650569334626,4.7191659193485975
bundesliga,2014-2015,65,Timo Werner,VfB Stuttgart,F M S,32,1620,3,1,2.570980915799737,1.521005216985941,30,15,1,0,3,2.570980915799737,5.0997838247567415,1.5179486507549882
bundesliga,2014-2015,110,Theodor Gebre Selassie,Werder Bremen,D S,26,2276,3,1,2.981102328747511,1.0419331658631563,18,19,0,0,3,2.981102328747511,3.510485094040632,2.8985945051535964
bundesliga,2014-2015,135,Yuya Osako,FC Cologne,F M S,28,1519,3,3,4.085699204355478,1.681980574503541,31,12,1,0,3,4.085699204355478,7.656344007700682,2.906653773970902
bundesliga,2014-2015,176,Sven Schipplock,Hoffenheim,F S,25,797,3,0,3.403442271053791,0.913916254416108,27,8,4,0,3,3.403442271053791,4.798732305876911,1.9063591565936804
bundesliga,2014-2015,179,Zoltán Stieber,Hamburger SV,F M S,25,1530,3,2,2.887256526388228,1.940933233126998,33,31,1,0,3,2.887256526388228,5.791962029412389,1.918559970334172
bundesliga,2014-2015,275,Tim Matavz,Augsburg,F S,16,509,3,1,1.5708885788917542,0.3033562451601028,17,4,0,0,3,1.5708885788917542,1.894047351554036,0.1685507260262966
bundesliga,2014-2015,280,Halil Altintop,Augsburg,F M S,31,2485,3,4,3.877148231491448,5.7025832533836365,37,51,1,0,3,3.877148231491448,12.626767199486494,5.255558796226978
bundesliga,2014-2015,289,Marc Stendera,Eintracht Frankfurt,F M S,26,1855,3,5,1.2421202408149838,3.057875107973814,24,31,6,0,3,1.2421202408149838,7.387054316699505,4.957601182162762
bundesliga,2014-2015,314,Ilkay Gündogan,Borussia Dortmund,M S,23,1913,3,4,2.2297320486977696,3.2291626166552305,40,28,2,0,3,2.2297320486977696,12.495797311887143,9.189232844859362
bundesliga,2014-2015,317,Henrikh Mkhitaryan,Borussia Dortmund,M S,28,1919,3,4,5.736274187453091,6.632584829814732,69,45,4,0,3,5.736274187453091,14.594515852630138,6.200586562976241
bundesliga,2014-2015,320,Jonas Hofmann,"Borussia Dortmund,Mainz 05",F M S,12,638,3,0,2.337584387511015,0.3125719726085663,12,4,1,0,2,1.579807709902525,2.225293271243572,1.038114132359624
bundesliga,2014-2015,337,Leroy Sané,Schalke 04,F M S,13,607,3,0,2.0758412703871727,0.8094684854149818,12,5,1,0,3,2.0758412703871727,3.176600635051728,1.1063842363655567
bundesliga,2014-2015,381,Ronny,Hertha Berlin,M S,19,933,3,2,1.5590592743828893,1.7796110548079014,22,16,4,0,2,0.8012826079502702,1.7432711524888873,1.004018571227789
bundesliga,2014-2015,383,Florian Klein,VfB Stuttgart,D M S,34,2957,3,2,2.065686419606209,2.0297867069020867,22,23,2,0,2,1.3079097419977188,6.553468042984605,3.58527079410851
bundesliga,2014-2015,386,Gojko Kacar,Hamburger SV,M S,13,709,3,0,1.1441392106935382,0.2400255482643842,10,7,4,0,3,1.1441392106935382,1.7757610585540533,1.633222471922636
bundesliga,2014-2015,412,André Hahn,Borussia M.Gladbach,F M S,23,1313,3,2,3.646351352334024,2.538193553686142,37,12,3,0,3,3.646351352334024,6.357207288965583,1.1486457232385874
bundesliga,2014-2015,566,Sebastian Prödl,Werder Bremen,D S,22,1741,3,1,2.248267535120249,1.146436020731926,19,4,5,0,3,2.248267535120249,2.6084581622853875,2.021136121824384
bundesliga,2014-2015,1209,Ciro Immobile,Borussia Dortmund,F S,24,953,3,1,4.783483169972897,0.6823710855096579,42,8,1,0,3,4.025706455111504,5.215689189732075,1.2569437278434634
bundesliga,2014-2015,2632,Elkin Soto,Mainz 05,M S,16,409,3,1,0.9144780673086644,0.4070872385054827,9,4,3,0,3,0.9144780673086644,2.1015294659882784,0.788695580791682
bundesliga,2014-2015,3477,Jimmy Briand,Hannover 96,F M S,29,2076,3,6,3.355183126404881,3.106897532939911,38,25,2,0,3,3.355183126404881,8.66225788090378,4.146408742293716
bundesliga,2014-2015,4262,Alban Meha,Paderborn,M S,18,1218,3,0,2.475486100651324,1.4702191948890686,61,21,1,0,2,1.7177094081416726,2.8276686435565352,1.941966407932341
bundesliga,2014-2015,4300,Tranquillo Barnetta,Schalke 04,M S,22,1061,3,4,2.577631358988583,1.7110307267867029,19,34,0,0,3,2.577631358988583,4.416086353361607,1.4193454068154097
bundesliga,2014-2015,12,Mario Vrancic,Paderborn,M S,30,2122,2,1,1.701932200230658,4.042513783089817,22,61,5,0,2,1.701932200230658,6.831635202281177,4.113265811465681
bundesliga,2014-2015,46,Jairo Samperio,Mainz 05,F M S,22,1104,2,2,0.613917120732367,1.5482592172920704,12,10,2,0,2,0.613917120732367,3.214032936841249,1.903877755627036
bundesliga,2014-2015,63,Alexandru Maxim,VfB Stuttgart,M S,25,1413,2,6,2.650600920431316,4.418616056442261,27,44,3,0,2,2.650600920431316,9.639331144280732,5.058071677573025
bundesliga,2014-2015,93,Marcelo,Hannover 96,D,34,3060,2,0,2.065567002631724,0.2245507705956697,21,5,4,0,2,2.065567002631724,4.7197220250964165,4.522695863619447
bundesliga,2014-2015,96,Salif Sané,Hannover 96,D M S,18,1437,2,0,0.7950182384811342,0.4139521364122629,21,8,8,0,2,0.7950182384811342,2.95630703587085,2.631258575245738
bundesliga,2014-2015,111,Jannik Vestergaard,"Hoffenheim,Werder Bremen",D M S,21,1434,2,0,1.135067774914205,0.0,13,0,3,0,2,1.135067774914205,1.5671746609732509,0.980963702313602
bundesliga,2014-2015,123,Assani Lukimya,Werder Bremen,D S,22,1745,2,2,1.505147472023964,1.1525075063109398,14,11,1,0,2,1.505147472023964,2.612274463288486,2.1944235460832715
bundesliga,2014-2015,128,Pawel Olkowski,FC Cologne,D M S,27,2113,2,2,1.3539194166660309,2.1174236442893744,22,14,1,1,2,1.3539194166660309,5.582961091771722,2.376931522972882
bundesliga,2014-2015,131,Jonas Hector,FC Cologne,D M,33,2970,2,0,1.0661044791340828,1.8659474877640605,20,29,2,0,2,1.0661044791340828,5.356589471921325,3.861882908269763
bundesliga,2014-2015,152,Julian Draxler,Schalke 04,M S,15,768,2,1,2.0694434801116586,0.6216063015162945,23,11,1,1,2,2.0694434801116586,3.220121995545924,1.288850391283631
bundesliga,2014-2015,161,Robin Knoche,Wolfsburg,D S,27,2295,2,0,1.6237193774431944,1.2113665584474802,10,6,0,0,2,1.6237193774431944,5.0500194337219,4.674930965527892
bundesliga,2014-2015,174,Aaron Hunt,Wolfsburg,M S,15,413,2,0,1.129580333828926,0.3233285155147314,9,12,1,0,2,1.129580333828926,3.555201200768352,2.4915193300694227
bundesliga,2014-2015,187,Christoph Kramer,Borussia M.Gladbach,M S,30,2509,2,1,1.0561789385974407,2.100831039249897,11,25,6,0,2,1.0561789385974407,10.385727970860898,8.54190022405237
bundesliga,2014-2015,197,Kyriakos Papadopoulos,Bayer Leverkusen,D M S,14,831,2,1,1.7860457114875317,0.1406037621200084,17,2,5,0,2,1.7860457114875317,0.5450484249740839,0.4862578976899385
bundesliga,2014-2015,202,Håvard Nordtveit,Borussia M.Gladbach,D M S,22,891,2,0,1.113590558990836,0.4645834881812334,12,5,2,1,2,1.113590558990836,1.830366149544716,1.5911330431699753
bundesliga,2014-2015,204,Granit Xhaka,Borussia M.Gladbach,M,30,2641,2,1,2.166389501653612,1.5732764899730682,61,22,10,1,2,2.166389501653612,16.471260525286198,14.59677966311574
bundesliga,2014-2015,206,Oscar Wendt,Borussia M.Gladbach,D S,26,2294,2,1,0.6815354377031326,0.9828232983127236,8,12,4,0,2,0.6815354377031326,10.600961055606604,9.230263900011778
bundesliga,2014-2015,207,Ibrahima Traoré,Borussia M.Gladbach,M S,24,835,2,1,1.6418963819742205,1.9675849275663493,23,21,3,0,2,1.6418963819742205,5.002992480993271,2.386478209868073
bundesliga,2014-2015,216,Branimir Hrgota,Borussia M.Gladbach,F S,17,700,2,3,2.8970679864287376,1.5612945891916752,15,12,0,0,2,2.8970679864287376,5.53145233169198,1.8943543285131448
bundesliga,2014-2015,218,Philipp Lahm,Bayern Munich,D M S,20,1407,2,2,1.4807118903845549,2.106140191666782,13,31,0,0,2,1.4807118903845549,12.28626380302012,9.888142308220267
bundesliga,2014-2015,228,Sebastian Rode,Bayern Munich,D M S,22,951,2,5,1.0762819945812223,3.7373434640467167,13,24,2,0,2,1.0762819945812223,9.462079297751188,7.126473922282457
bundesliga,2014-2015,230,Xabi Alonso,Bayern Munich,D M S,26,1977,2,3,0.8904345193877816,2.0211127419024706,20,35,6,0,2,0.8904345193877816,11.908174224197865,11.088522646576166
bundesliga,2014-2015,265,Ragnar Klavan,Augsburg,D,34,3060,2,0,1.5781318163499236,0.2177866376005113,16,6,1,0,2,1.5781318163499236,4.764019534923136,4.514457442332059
bundesliga,2014-2015,293,Marco Russ,Eintracht Frankfurt,D M,26,2224,2,3,2.40006803534925,1.362810667604208,18,11,5,0,2,2.40006803534925,6.500918052624911,5.246007488574833
bundesliga,2014-2015,312,Neven Subotic,Borussia Dortmund,D S,28,2272,2,0,1.089241225272417,0.4661989863961935,19,11,9,0,2,1.089241225272417,7.769886472262442,7.488763388246298
bundesliga,2014-2015,316,Gonzalo Castro,Bayer Leverkusen,D M S,22,1781,2,7,3.101783820427954,4.4722970789298415,30,34,4,0,2,3.101783820427954,8.896532461978495,3.950016498565674
bundesliga,2014-2015,324,Adrián Ramos,Borussia Dortmund,F S,18,707,2,2,2.958767514675856,1.453199926763773,19,17,0,0,2,2.958767514675856,5.211286336183548,1.518416404724121
bundesliga,2014-2015,332,Joel Matip,Schalke 04,D S,21,1548,2,0,2.850806036964059,0.305738752707839,17,5,2,1,2,2.850806036964059,2.4976768400520086,2.0110377855598927
bundesliga,2014-2015,333,Benedikt Höwedes,Schalke 04,D,28,2487,2,0,1.5853189453482628,1.6977868638932705,11,7,8,0,2,1.5853189453482628,3.870116669684649,3.514450766146183
bundesliga,2014-2015,343,Pierre-Emile Højbjerg,"Augsburg,Bayern Munich",M S,24,1292,2,3,1.2763835657387972,1.7850673468783498,32,19,5,0,2,1.2763835657387972,3.692747777327895,1.982183588668704
bundesliga,2014-2015,346,Roman Neustädter,Schalke 04,D M S,29,2423,2,0,0.624049948528409,0.4414490666240453,14,9,6,0,2,0.624049948528409,5.736844847910106,5.34577280189842
bundesliga,2014-2015,349,Artur Sobiech,Hannover 96,F S,19,521,2,1,2.438158942386508,0.9699769262224436,11,6,0,0,2,2.438158942386508,3.7186209950596094,1.496961435303092
bundesliga,2014-2015,350,Felix Klaus,Freiburg,M S,31,2234,2,2,3.423728445544839,1.1110609844326973,41,17,5,0,2,3.423728445544839,6.368327697739005,2.188029847107828
bundesliga,2014-2015,373,Mats Hummels,Borussia Dortmund,D S,24,2034,2,0,0.9594423286616802,0.5257385009899735,22,9,2,0,2,0.9594423286616802,6.03959143627435,5.78589824680239
bundesliga,2014-2015,387,Luiz Gustavo,Wolfsburg,M S,31,2634,2,0,3.781821036711335,1.0630228351801634,36,19,11,0,2,3.781821036711335,12.118940187618136,10.28353981487453
bundesliga,2014-2015,417,Tin Jedvaj,Bayer Leverkusen,D S,22,1664,2,1,1.1727730175480249,0.2031615860760212,16,7,6,1,2,1.1727730175480249,2.698210261762142,1.9427428636699915
bundesliga,2014-2015,749,Christian Fuchs,Schalke 04,D M S,25,1713,2,4,0.791372905485332,3.924276089295745,16,33,3,0,2,0.791372905485332,5.205229008104652,2.4134190804325044
bundesliga,2014-2015,4258,Uwe Hünemeier,Paderborn,D,32,2816,2,2,1.872235773131252,1.2220480032265186,30,9,4,0,2,1.872235773131252,3.629909412935376,2.688655372709036
bundesliga,2014-2015,4263,Srdjan Lakic,Paderborn,F S,17,1004,2,2,1.2928181774914265,0.7302521299570799,15,6,3,0,2,1.2928181774914265,2.1652522683143616,0.5220252722501755
bundesliga,2014-2015,4275,Lucas Piazon,Eintracht Frankfurt,F M S,22,1046,2,0,1.4780404567718506,2.431697255000472,10,20,3,0,2,1.4780404567718506,5.719160195440054,2.985392028465867
bundesliga,2014-2015,4282,Marcell Jansen,Hamburger SV,D M S,15,1058,2,1,0.8916622251272202,1.1621922189369798,19,9,1,0,2,0.8916622251272202,3.0987405125051737,1.3288748376071453
bundesliga,2014-2015,4287,Sejad Salihovic,Hoffenheim,M S,13,437,2,0,1.922382794320584,0.7091471888124943,12,11,3,0,0,0.4068293869495392,1.8216264583170407,1.447984240949154
bundesliga,2014-2015,4291,Marc-Oliver Kempf,Freiburg,D S,13,917,2,0,0.4672891870141029,0.2948320917785167,4,4,3,0,2,0.4672891870141029,0.4312541093677282,0.2632044907659292
bundesliga,2014-2015,4304,Sami Allagui,"Hertha Berlin,Mainz 05",F M S,20,807,2,0,3.414210509508848,1.0264693861827254,29,10,4,0,2,3.414210509508848,2.87378135882318,1.2742166612297297
bundesliga,2014-2015,3,Luca Caldirola,Werder Bremen,D S,7,470,1,0,0.432699590921402,0.0606867261230945,1,1,2,1,1,0.432699590921402,0.5550532136112452,0.1223536226898431
