id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,league,season
3277,Alexandre Lacazette,33,2860,27,18.59795479476452,6,6.063525988720357,96,53,6,0,F M,Lyon,19,11.757098589092491,19.62206817790866,6.380009922198951,ligue_1,2014-2015
4747,André-Pierre Gignac,38,3118,21,16.70073507167399,2,2.281484890729189,124,22,3,0,F M S,Marseille,19,14.42044965364039,17.87830714136362,2.918048534542322,ligue_1,2014-2015
1741,Zlatan Ibrahimovic,24,2002,19,18.945743087679148,6,7.0774335116148,87,37,3,0,F S,Paris Saint Germain,11,12.104886803776026,21.29430728405714,7.169927071779966,ligue_1,2014-2015
3294,Edinson Cavani,35,2666,18,22.860318928956985,1,1.7430233117192984,111,14,2,1,F S,Paris Saint Germain,15,20.580033540725708,25.087476015090942,5.913359999656677,ligue_1,2014-2015
464,Max Gradel,31,2186,17,14.41136486735195,3,5.481753928586841,102,46,6,0,F M S,Saint-Etienne,13,10.61088919173926,14.291718386113644,2.279516431502998,ligue_1,2014-2015
2502,Claudio Beauvue,36,2996,17,12.1726897303015,3,3.9643061356619,83,30,1,0,F M S,Guingamp,11,7.612118801102042,11.970876448787749,2.365179657936096,ligue_1,2014-2015
3261,Diego Rolan,36,2493,15,12.557042948901652,3,3.5689100697636604,74,32,2,0,F M S,Bordeaux,12,10.276757545769216,14.774150021374226,3.781224863603711,ligue_1,2014-2015
3210,Wissam Ben Yedder,36,2890,14,11.5973131461069,3,5.408472464419901,82,55,1,0,F M S,Toulouse,12,9.317027713172138,15.236949852667747,4.522265839390457,ligue_1,2014-2015
3667,Nabil Fekir,34,2796,13,10.633824359625578,9,6.042493192479014,88,48,7,0,F M,Lyon,13,9.87372924014926,14.780870217829944,3.109593346714973,ligue_1,2014-2015
672,Jordan Ayew,31,2616,12,11.871490385383368,5,3.255952817387879,112,35,8,0,F S,Lorient,9,9.591204926371574,12.664958896115422,3.344175391830504,ligue_1,2014-2015
4694,Lucas Barrios,31,2313,11,9.533604423049836,3,3.2381259724497795,46,23,0,0,F S,Montpellier,9,6.493223855737597,12.349557053297758,3.3974849302321672,ligue_1,2014-2015
4708,Christophe Mandanne,31,2080,11,9.070092545822265,2,1.784810621291399,53,16,2,0,F S,Guingamp,10,8.309997396543622,10.56627045199275,1.2131432900205257,ligue_1,2014-2015
4753,Carlos Eduardo,30,2349,10,10.040313264355063,4,3.996918206103146,77,25,2,1,F M S,Nice,10,10.040313264355063,12.16275544743985,2.658189309760928,ligue_1,2014-2015
4787,Mathieu Duhamel,30,2232,10,10.752324934117496,0,0.6218226160854101,73,14,1,0,F M S,"Caen,Evian Thonon Gaillard",8,9.232200263999404,9.378509619273244,0.7434170143678784,ligue_1,2014-2015
553,Anthony Martial,35,1819,9,10.844686690717936,3,2.3954963833093643,51,12,1,0,F M S,Monaco,8,9.3244964517653,12.941917221993208,2.1136934757232666,ligue_1,2014-2015
713,André Ayew,28,2394,9,9.591963574290276,3,3.195275828242302,52,22,6,0,D F M S,Marseille,9,9.591963574290276,14.156404729932548,6.737744154408574,ligue_1,2014-2015
734,Wahbi Khazri,32,2395,9,7.465546438470483,5,4.7790833581238985,76,48,8,0,F M S,Bordeaux,7,5.945356139913201,11.00428463332355,4.299083897843957,ligue_1,2014-2015
1029,Modibo Maiga,25,1760,9,5.8021631464362144,0,1.58407939132303,47,25,5,0,F M S,Metz,7,4.2819728292524815,6.074476452544332,1.0942500960081816,ligue_1,2014-2015
1451,Anthony Mounier,36,3123,9,6.869163598865271,6,9.850084573030472,53,60,1,0,F M,Montpellier,8,6.10906844958663,17.391467491164804,5.02846465818584,ligue_1,2014-2015
3230,Paul-Georges Ntep,35,2708,9,6.958615066483617,5,6.942514383234084,63,50,5,0,F M S,Rennes,9,6.198519902303815,14.979455392807722,5.300588943995535,ligue_1,2014-2015
3512,Nolan Roux,33,2387,9,7.157474617473781,3,3.4913216596469283,68,24,2,0,F S,Lille,8,6.397379497997463,11.30566073115915,2.717138627544045,ligue_1,2014-2015
3635,Bernardo Silva,32,2290,9,6.3191055646166205,3,5.603754572570324,34,46,1,0,F M S,Monaco,9,6.3191055646166205,15.752223575487733,6.2646829998120666,ligue_1,2014-2015
104,Mevlüt Erdinc,26,1610,8,6.42682633176446,1,0.6167656779289246,40,8,1,0,F S,Saint-Etienne,7,4.906636003404856,6.225676994770765,1.827495714649558,ligue_1,2014-2015
484,Divock Origi,33,2149,8,9.901630645617844,3,3.5014943163841963,52,23,0,0,F M S,Lille,6,6.861250160261989,10.662330508232117,2.229855346493423,ligue_1,2014-2015
2284,Daniel Wass,32,2472,8,5.042462471872568,5,4.1579513708129525,48,37,2,1,D F M S,Evian Thonon Gaillard,7,3.522272167727351,7.450322726741433,3.9459709003567696,ligue_1,2014-2015
3361,Éric Bautheac,35,2588,8,7.635714849457145,5,4.173763867467642,59,44,11,0,F M S,Nice,5,5.355429481714964,11.316291301511228,4.861088819801807,ligue_1,2014-2015
3570,Benjamin Moukandjo,31,1887,8,5.998644150793552,1,3.0665840469300747,47,35,3,0,F M S,Reims,7,5.238549005240202,7.13079240731895,1.8880695067346096,ligue_1,2014-2015
3577,Cheick Diabaté,15,1085,8,7.309985980391502,2,0.5199352046474814,36,11,0,1,F S,Bordeaux,6,5.789795696735382,6.2162573747336864,1.2125422321259975,ligue_1,2014-2015
